t,label
6.36,0
6.37,0
6.38,0
6.390000000000001,0
6.4,0
6.41,0
6.42,0
6.43,0
6.44,0
6.45,0
6.46,0
6.47,0
6.48,0
6.49,0
6.5,0
6.51,0
6.5200000000000005,0
6.53,0
6.54,0
6.55,0
6.5600000000000005,0
6.57,0
6.58,0
6.59,0
6.6000000000000005,1
6.61,1
6.62,0
6.63,0
6.640000000000001,0
6.65,0
6.66,0
6.67,1
6.68,1
6.69,0
6.7,0
6.71,0
6.72,0
6.73,0
6.74,1
6.75,1
6.76,1
6.7700000000000005,1
6.78,1
6.79,1
6.8,0
6.8100000000000005,0
6.82,0
6.83,0
6.84,0
6.8500000000000005,1
6.86,1
6.87,1
6.88,1
6.890000000000001,1
6.9,1
6.91,0
6.92,0
6.93,0
6.94,0
6.95,0
6.96,0
6.97,0
6.98,0
6.99,1
7.0,0
7.01,0
7.0200000000000005,0
7.03,0
7.04,0
7.05,0
7.0600000000000005,0
7.07,0
7.08,0
7.09,0
7.1000000000000005,0
7.11,0
7.12,0
7.13,0
7.140000000000001,0
7.15,0
7.16,0
7.17,1
7.18,1
7.19,1
7.2,1
7.21,0
7.22,0
7.23,0
7.24,0
7.25,0
7.26,0
7.2700000000000005,0
7.28,0
7.29,0
7.3,0
7.3100000000000005,0
7.32,0
7.33,0
7.34,1
7.3500000000000005,1
7.36,1
7.37,0
7.38,0
7.390000000000001,0
7.4,0
7.41,0
7.42,0
7.43,1
7.44,1
7.45,1
7.46,1
7.47,1
7.48,0
7.49,0
7.5,0
7.51,0
7.5200000000000005,0
7.53,0
7.54,0
7.55,0
7.5600000000000005,0
7.57,0
7.58,0
7.59,0
7.6000000000000005,0
7.61,0
7.62,1
7.63,1
7.640000000000001,1
7.65,1
7.66,0
7.67,0
7.68,0
7.69,0
7.7,0
7.71,0
7.72,0
7.73,0
7.74,0
7.75,0
7.76,0
7.7700000000000005,0
7.78,0
7.79,0
7.8,1
7.8100000000000005,1
7.82,1
7.83,1
7.84,1
7.8500000000000005,1
7.86,0
7.87,0
7.88,0
7.890000000000001,0
7.9,0
7.91,0
7.92,0
7.930000000000001,0
7.94,0
7.95,1
7.96,1
7.97,0
7.98,0
7.99,0
8.0,1
8.01,1
8.02,1
8.03,1
8.040000000000001,1
8.05,1
8.06,0
8.07,0
8.08,0
8.09,0
8.1,0
8.11,0
8.120000000000001,0
8.13,0
8.14,0
8.15,0
8.16,0
8.17,0
8.18,1
8.19,1
8.2,0
8.21,0
8.22,0
8.23,0
8.24,0
8.25,0
8.26,0
8.27,0
8.28,0
8.290000000000001,0
8.3,0
8.31,0
8.32,0
8.33,0
8.34,0
8.35,0
8.36,0
8.370000000000001,0
8.38,0
8.39,0
8.4,0
8.41,1
8.42,1
8.43,1
8.44,0
8.45,0
8.46,0
8.47,1
8.48,1
8.49,1
8.5,1
8.51,1
8.52,1
8.53,0
8.540000000000001,0
8.55,0
8.56,0
8.57,0
8.58,0
8.59,0
8.6,0
8.61,0
8.620000000000001,0
8.63,0
8.64,0
8.65,1
8.66,1
8.67,1
8.68,1
8.69,1
8.700000000000001,1
8.71,0
8.72,0
8.73,0
8.74,1
8.75,1
8.76,1
8.77,1
8.78,1
8.790000000000001,1
8.8,0
8.81,0
8.82,0
8.83,0
8.84,0
8.85,0
8.86,0
8.870000000000001,0
8.88,0
8.89,0
8.9,0
8.91,0
8.92,0
8.93,0
8.94,0
8.950000000000001,0
8.96,0
8.97,1
8.98,1
8.99,1
9.0,0
9.01,0
9.02,0
9.03,1
9.040000000000001,1
9.05,1
9.06,1
9.07,0
9.08,1
9.09,1
9.1,1
9.11,0
9.120000000000001,0
9.13,0
9.14,0
9.15,0
9.16,0
9.17,0
9.18,0
9.19,0
9.200000000000001,0
9.21,0
9.22,0
9.23,0
9.24,0
9.25,0
9.26,0
9.27,0
9.28,0
9.290000000000001,1
9.3,1
9.31,1
9.32,1
9.33,1
9.34,1
9.35,1
9.36,1
9.370000000000001,1
9.38,1
9.39,1
9.4,1
9.41,1
9.42,1
9.43,1
9.44,1
9.450000000000001,1
9.46,0
9.47,0
9.48,0
9.49,0
9.5,0
9.51,0
9.52,0
9.53,0
9.540000000000001,0
9.55,0
9.56,1
9.57,1
9.58,1
9.59,1
9.6,1
9.61,1
9.620000000000001,0
9.63,0
9.64,0
9.65,1
9.66,1
9.67,1
9.68,0
9.69,0
9.700000000000001,0
9.71,0
9.72,0
9.73,0
9.74,0
9.75,0
9.76,0
9.77,0
9.78,0
9.790000000000001,1
9.8,1
9.81,1
9.82,1
9.83,1
9.84,1
9.85,1
9.86,0
9.870000000000001,0
9.88,0
9.89,0
9.9,0
9.91,1
9.92,1
9.93,0
9.94,0
9.950000000000001,0
9.96,0
9.97,0
9.98,0
9.99,1
10.0,0
10.01,0
10.02,0
10.03,0
10.040000000000001,0
10.05,0
10.06,0
10.07,0
10.08,0
10.09,0
10.1,0
10.11,0
10.120000000000001,0
10.13,0
10.14,0
10.15,0
10.16,0
10.17,0
10.18,1
10.19,0
10.200000000000001,0
10.21,0
10.22,0
10.23,0
10.24,0
10.25,0
10.26,0
10.27,0
10.28,0
10.290000000000001,0
10.3,0
10.31,0
10.32,0
10.33,0
10.34,0
10.35,0
10.36,0
10.370000000000001,0
10.38,0
10.39,0
10.4,0
10.41,0
10.42,0
10.43,0
10.44,0
10.450000000000001,0
10.46,0
10.47,0
10.48,0
10.49,0
10.5,1
10.51,1
10.52,1
10.53,1
10.540000000000001,1
10.55,1
10.56,1
10.57,0
10.58,1
10.59,1
10.6,1
10.61,1
10.620000000000001,0
10.63,0
10.64,0
10.65,1
10.66,1
10.67,0
10.68,0
10.69,0
10.700000000000001,1
10.71,1
10.72,1
10.73,1
10.74,1
10.75,0
10.76,0
10.77,0
10.78,0
10.790000000000001,0
10.8,0
10.81,0
10.82,0
10.83,0
10.84,1
10.85,1
10.86,1
10.870000000000001,1
10.88,0
10.89,0
10.9,0
10.91,1
10.92,1
10.93,1
10.94,0
10.950000000000001,0
10.96,1
10.97,0
10.98,0
10.99,0
11.0,0
11.01,0
11.02,1
11.03,1
11.040000000000001,0
11.05,1
11.06,1
11.07,1
11.08,1
11.09,0
11.1,1
11.11,1
11.120000000000001,1
11.13,1
11.14,1
11.15,1
11.16,0
11.17,0
11.18,0
11.19,0
11.200000000000001,0
11.21,0
11.22,0
11.23,0
11.24,0
11.25,0
11.26,0
11.27,0
11.28,0
11.290000000000001,0
11.3,0
11.31,0
11.32,0
11.33,0
11.34,0
11.35,0
11.36,0
11.370000000000001,0
11.38,0
11.39,0
11.4,1
11.41,1
11.42,1
11.43,1
11.44,0
11.450000000000001,0
11.46,0
11.47,0
11.48,0
11.49,0
11.5,0
11.51,0
11.52,0
11.53,0
11.540000000000001,0
11.55,1
11.56,1
11.57,1
11.58,1
11.59,1
11.6,0
11.61,0
11.620000000000001,0
11.63,0
11.64,0
11.65,0
11.66,0
11.67,0
11.68,0
11.69,0
11.700000000000001,0
11.71,0
11.72,1
11.73,1
11.74,1
11.75,0
11.76,0
11.77,0
11.78,0
11.790000000000001,0
11.8,0
11.81,1
11.82,1
11.83,1
11.84,1
11.85,1
11.86,1
11.870000000000001,0
11.88,0
11.89,1
11.9,0
11.91,0
11.92,0
11.93,1
11.94,1
11.950000000000001,1
11.96,1
11.97,0
11.98,0
11.99,0
12.0,0
12.01,0
12.02,0
12.030000000000001,0
12.040000000000001,0
12.05,0
12.06,0
12.07,0
12.08,1
12.09,1
12.1,1
12.11,1
12.120000000000001,1
12.13,0
12.14,0
12.15,0
12.16,0
12.17,0
12.18,0
12.19,0
12.200000000000001,0
12.21,0
12.22,0
12.23,0
12.24,0
12.25,0
12.26,0
12.27,0
12.280000000000001,0
12.290000000000001,0
12.3,0
12.31,0
12.32,0
12.33,0
12.34,1
12.35,1
12.36,1
12.370000000000001,1
12.38,1
12.39,0
12.4,0
12.41,0
12.42,0
12.43,0
12.44,0
12.450000000000001,0
12.46,0
12.47,0
12.48,0
12.49,0
12.5,0
12.51,0
12.52,0
12.530000000000001,0
12.540000000000001,0
12.55,1
12.56,0
12.57,1
12.58,1
12.59,1
12.6,1
12.61,1
12.620000000000001,0
12.63,0
12.64,0
12.65,0
12.66,0
12.67,0
12.68,0
12.69,0
12.700000000000001,0
12.71,0
12.72,0
12.73,0
12.74,0
12.75,0
12.76,0
12.77,0
12.780000000000001,0
12.790000000000001,0
12.8,0
12.81,0
12.82,0
12.83,0
12.84,0
12.85,1
12.86,0
12.870000000000001,0
12.88,0
12.89,0
12.9,0
12.91,0
12.92,1
12.93,1
12.94,1
12.950000000000001,1
12.96,0
12.97,0
12.98,0
12.99,0
13.0,0
13.01,0
13.02,0
13.030000000000001,0
13.040000000000001,0
13.05,0
13.06,0
13.07,0
13.08,0
13.09,1
13.1,1
13.11,1
13.120000000000001,0
13.13,1
13.14,1
13.15,1
13.16,1
13.17,0
13.18,1
13.19,1
13.200000000000001,0
13.21,0
13.22,1
13.23,1
13.24,1
13.25,1
13.26,1
13.27,1
13.280000000000001,0
13.290000000000001,0
13.3,0
13.31,0
13.32,0
13.33,0
13.34,0
13.35,0
13.36,1
13.370000000000001,1
13.38,1
13.39,1
13.4,0
13.41,0
13.42,0
13.43,0
13.44,0
13.450000000000001,0
13.46,0
13.47,0
13.48,0
13.49,0
13.5,0
13.51,0
13.52,1
13.530000000000001,1
13.540000000000001,0
13.55,0
13.56,0
13.57,0
13.58,0
13.59,1
13.6,1
13.61,1
13.620000000000001,1
13.63,0
13.64,0
13.65,0
13.66,0
13.67,1
13.68,1
13.69,1
13.700000000000001,1
13.71,0
13.72,0
13.73,1
13.74,1
13.75,0
13.76,1
13.77,1
13.780000000000001,1
13.790000000000001,1
13.8,1
13.81,1
13.82,1
13.83,1
13.84,1
13.85,1
13.86,0
13.870000000000001,1
13.88,1
13.89,1
13.9,1
13.91,0
13.92,0
13.93,0
13.94,0
13.950000000000001,0
13.96,1
13.97,1
13.98,1
13.99,0
14.0,0
14.01,0
14.02,0
14.030000000000001,1
14.040000000000001,0
14.05,0
14.06,1
14.07,1
14.08,1
14.09,0
14.1,0
14.11,0
14.120000000000001,0
14.13,0
14.14,0
14.15,0
14.16,0
14.17,0
14.18,0
14.19,0
14.200000000000001,0
14.21,0
14.22,0
14.23,0
14.24,0
14.25,0
14.26,0
14.27,1
14.280000000000001,1
14.290000000000001,1
14.3,1
14.31,1
14.32,1
14.33,1
14.34,1
14.35,1
14.36,1
14.370000000000001,1
14.38,0
14.39,1
14.4,1
14.41,1
14.42,1
14.43,1
14.44,1
14.450000000000001,1
14.46,1
14.47,1
14.48,1
14.49,0
14.5,1
14.51,0
14.52,0
14.530000000000001,0
14.540000000000001,0
14.55,0
14.56,0
14.57,1
14.58,1
14.59,1
14.6,1
14.61,0
14.620000000000001,0
14.63,0
14.64,0
14.65,0
14.66,0
14.67,0
14.68,1
14.69,1
14.700000000000001,1
14.71,1
14.72,1
14.73,1
14.74,0
14.75,0
14.76,1
14.77,1
14.780000000000001,1
14.790000000000001,1
14.8,1
14.81,1
14.82,1
14.83,1
14.84,1
14.85,1
14.86,1
14.870000000000001,1
14.88,0
14.89,0
14.9,0
14.91,0
14.92,1
14.93,1
14.94,1
14.950000000000001,0
14.96,0
14.97,0
14.98,0
14.99,0
15.0,0
15.01,0
15.02,0
15.030000000000001,0
15.040000000000001,0
15.05,0
15.06,0
15.07,0
15.08,0
15.09,0
15.1,0
15.11,1
15.120000000000001,0
15.13,0
15.14,0
15.15,0
15.16,0
15.17,0
15.18,0
15.19,0
15.200000000000001,0
15.21,0
15.22,0
15.23,1
15.24,0
15.25,0
15.26,1
15.27,1
15.280000000000001,1
15.290000000000001,1
15.3,1
15.31,1
15.32,1
15.33,0
15.34,0
15.35,1
15.36,1
15.370000000000001,0
15.38,0
15.39,0
15.4,0
15.41,1
15.42,1
15.43,1
15.44,1
15.450000000000001,0
15.46,1
15.47,1
15.48,1
15.49,0
15.5,0
15.51,0
15.52,0
15.530000000000001,0
15.540000000000001,0
15.55,0
15.56,0
15.57,0
15.58,0
15.59,0
15.6,0
15.610000000000001,0
15.620000000000001,0
15.63,0
15.64,0
15.65,0
15.66,0
15.67,0
15.68,0
15.69,0
15.700000000000001,0
15.71,0
15.72,0
15.73,0
15.74,0
15.75,0
15.76,0
15.77,0
15.780000000000001,0
15.790000000000001,1
15.8,1
15.81,0
15.82,1
15.83,1
15.84,1
15.85,1
15.860000000000001,1
15.870000000000001,0
15.88,0
15.89,0
15.9,0
15.91,0
15.92,0
15.93,0
15.94,1
15.950000000000001,1
15.96,1
15.97,0
15.98,0
15.99,0
16.0,0
16.01,0
16.02,0
16.03,0
16.04,0
16.05,0
16.06,1
16.07,1
16.080000000000002,0
16.09,0
16.1,0
16.11,0
16.12,0
16.13,1
16.14,1
16.15,1
16.16,1
16.17,1
16.18,1
16.19,1
16.2,1
16.21,0
16.22,0
16.23,1
16.240000000000002,1
16.25,1
16.26,0
16.27,0
16.28,0
16.29,0
16.3,0
16.31,0
16.32,0
16.330000000000002,1
16.34,0
16.35,0
16.36,0
16.37,1
16.38,1
16.39,1
16.4,1
16.41,0
16.42,0
16.43,0
16.44,0
16.45,0
16.46,0
16.47,0
16.48,0
16.490000000000002,0
16.5,0
16.51,0
16.52,0
16.53,0
16.54,0
16.55,0
16.56,0
16.57,0
16.580000000000002,0
16.59,0
16.6,0
16.61,0
16.62,0
16.63,0
16.64,0
16.65,0
16.66,0
16.67,0
16.68,0
16.69,0
16.7,0
16.71,0
16.72,0
16.73,0
16.740000000000002,1
16.75,0
16.76,0
16.77,1
16.78,1
16.79,1
16.8,1
16.81,0
16.82,1
16.830000000000002,1
16.84,1
16.85,1
16.86,1
16.87,1
16.88,1
16.89,0
16.9,0
16.91,0
16.92,0
16.93,0
16.94,0
16.95,0
16.96,1
16.97,1
16.98,0
16.990000000000002,0
17.0,0
17.01,1
17.02,0
17.03,0
17.04,0
17.05,0
17.06,0
17.07,0
17.080000000000002,0
17.09,0
17.1,0
17.11,0
17.12,1
17.13,1
17.14,1
17.150000000000002,1
17.16,1
17.17,1
17.18,0
17.19,0
17.2,0
17.21,0
17.22,0
17.23,0
17.240000000000002,0
17.25,0
17.26,0
17.27,0
17.28,1
17.29,1
17.3,1
17.31,0
17.32,0
17.330000000000002,0
17.34,0
17.35,1
17.36,0
17.37,0
17.38,0
17.39,0
17.400000000000002,0
17.41,0
17.42,0
17.43,0
17.44,0
17.45,0
17.46,1
17.47,1
17.48,1
17.490000000000002,1
17.5,1
17.51,1
17.52,0
17.53,0
17.54,1
17.55,0
17.56,0
17.57,0
17.580000000000002,1
17.59,1
17.6,1
17.61,1
17.62,1
17.63,1
17.64,0
17.650000000000002,0
17.66,0
17.67,0
17.68,0
17.69,0
17.7,0
17.71,0
17.72,0
17.73,1
17.740000000000002,1
17.75,1
17.76,1
17.77,0
17.78,0
17.79,0
17.8,0
17.81,0
17.82,0
17.830000000000002,1
17.84,1
17.85,1
17.86,1
17.87,1
17.88,1
17.89,0
17.900000000000002,0
17.91,0
17.92,0
17.93,0
17.94,0
17.95,0
17.96,0
17.97,0
17.98,0
17.990000000000002,0
18.0,0
18.01,0
18.02,0
18.03,0
18.04,0
18.05,0
18.06,0
18.07,0
18.080000000000002,0
18.09,0
18.1,0
18.11,0
18.12,0
18.13,0
18.14,0
18.150000000000002,0
18.16,0
18.17,0
18.18,0
18.19,0
18.2,0
18.21,0
18.22,0
18.23,0
18.240000000000002,0
18.25,0
18.26,0
18.27,0
18.28,1
18.29,1
18.3,1
18.31,1
18.32,1
18.330000000000002,0
18.34,0
18.35,0
18.36,0
18.37,0
18.38,0
18.39,0
18.400000000000002,0
18.41,0
18.42,0
18.43,1
18.44,1
18.45,1
18.46,0
18.47,0
18.48,0
18.490000000000002,0
18.5,0
18.51,0
18.52,1
18.53,1
18.54,1
18.55,1
18.56,0
18.57,0
18.580000000000002,0
18.59,0
18.6,0
18.61,0
18.62,1
18.63,1
18.64,1
18.650000000000002,1
18.66,1
18.67,0
18.68,0
18.69,0
18.7,0
18.71,1
18.72,1
18.73,1
18.740000000000002,1
18.75,1
18.76,0
18.77,0
18.78,0
18.79,1
18.8,0
18.81,0
18.82,0
18.830000000000002,0
18.84,0
18.85,0
18.86,0
18.87,0
18.88,0
18.89,0
18.900000000000002,1
18.91,1
18.92,1
18.93,0
18.94,0
18.95,0
18.96,0
18.97,1
18.98,1
18.990000000000002,0
19.0,0
19.01,1
19.02,1
19.03,0
19.04,0
19.05,0
19.06,0
19.07,0
19.080000000000002,0
19.09,0
19.1,0
19.11,0
19.12,1
19.13,1
19.14,0
19.150000000000002,0
19.16,0
19.17,0
19.18,0
19.19,1
19.2,1
19.21,1
19.22,1
19.23,1
19.240000000000002,1
19.25,1
19.26,0
19.27,1
19.28,1
19.29,1
19.3,1
19.31,1
19.32,0
19.330000000000002,0
19.34,1
19.35,1
19.36,0
19.37,0
19.38,0
19.39,0
19.400000000000002,1
19.41,1
19.42,1
19.43,0
19.44,0
19.45,0
19.46,0
19.47,0
19.48,0
19.490000000000002,0
19.5,0
19.51,0
19.52,0
19.53,1
19.54,1
19.55,1
19.56,0
19.57,0
19.580000000000002,0
19.59,0
19.6,0
19.61,0
19.62,0
19.63,0
19.64,0
19.650000000000002,0
19.66,0
19.67,0
19.68,0
19.69,0
19.7,0
19.71,0
19.72,0
19.73,0
19.740000000000002,1
19.75,1
19.76,1
19.77,1
19.78,1
19.79,1
19.8,0
19.81,1
19.82,1
19.830000000000002,1
19.84,1
19.85,1
19.86,1
19.87,0
19.88,0
19.89,0
19.900000000000002,0
19.91,0
19.92,0
19.93,0
19.94,0
19.95,0
19.96,0
19.97,1
19.98,1
19.990000000000002,0
20.0,0
20.01,0
20.02,0
20.03,1
20.04,1
20.05,1
20.06,1
20.07,0
20.080000000000002,1
20.09,1
20.1,1
20.11,1
20.12,0
20.13,0
20.14,1
20.150000000000002,1
20.16,1
20.17,0
20.18,0
20.19,0
20.2,0
20.21,0
20.22,0
20.23,0
20.240000000000002,1
20.25,1
20.26,1
20.27,1
20.28,0
20.29,0
20.3,0
20.31,0
20.32,0
20.330000000000002,0
20.34,0
20.35,0
20.36,1
20.37,1
20.38,0
20.39,0
20.400000000000002,0
20.41,0
20.42,1
20.43,1
20.44,1
20.45,1
20.46,1
20.47,0
20.48,0
20.490000000000002,0
20.5,0
20.51,0
20.52,0
20.53,1
20.54,1
20.55,0
20.56,1
20.57,1
20.580000000000002,1
20.59,1
20.6,0
20.61,0
20.62,0
20.63,0
20.64,0
20.650000000000002,0
20.66,0
20.67,0
20.68,0
20.69,0
20.7,1
20.71,1
20.72,1
20.73,1
20.740000000000002,1
20.75,1
20.76,1
20.77,1
20.78,1
20.79,1
20.8,1
20.81,1
20.82,1
20.830000000000002,1
20.84,1
20.85,1
20.86,1
20.87,0
20.88,0
20.89,0
20.900000000000002,0
20.91,0
20.92,0
20.93,1
20.94,1
20.95,1
20.96,1
20.97,0
20.98,0
20.990000000000002,0
21.0,0
21.01,0
21.02,0
21.03,0
21.04,0
21.05,0
21.06,1
21.07,1
21.080000000000002,1
21.09,1
21.1,1
21.11,0
21.12,0
21.13,1
21.14,0
21.150000000000002,0
21.16,0
21.17,0
21.18,0
21.19,1
21.2,1
21.21,1
21.22,0
21.23,1
21.240000000000002,0
21.25,0
21.26,0
21.27,0
21.28,0
21.29,0
